:Data_list: 20120906_Gs_xr_5m.txt
:Created: 2012 Sep 11 1935 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-14
# Location: W105
# Missing data: -1.00e+05
#
#                         GOES-14 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2012 09 06  0000   56176      0     4.45e-09    8.25e-07    5.12e-03
2012 09 06  0005   56176    300     1.00e-09    6.26e-07    1.61e-03
2012 09 06  0010   56176    600     1.00e-09    5.05e-07    1.99e-03
2012 09 06  0015   56176    900     1.00e-09    4.54e-07    2.21e-03
2012 09 06  0020   56176   1200     1.00e-09    4.32e-07    2.31e-03
2012 09 06  0025   56176   1500     1.00e-09    4.28e-07    2.34e-03
2012 09 06  0030   56176   1800     1.00e-09    4.42e-07    2.26e-03
2012 09 06  0035   56176   2100     1.00e-09    4.85e-07    2.06e-03
2012 09 06  0040   56176   2400     1.00e-09    4.73e-07    2.11e-03
2012 09 06  0045   56176   2700     1.00e-09    4.89e-07    2.05e-03
2012 09 06  0050   56176   3000     1.00e-09    4.92e-07    2.03e-03
2012 09 06  0055   56176   3300     1.00e-09    4.72e-07    2.12e-03
2012 09 06  0100   56176   3600     1.00e-09    4.61e-07    2.17e-03
2012 09 06  0105   56176   3900     1.00e-09    4.85e-07    2.06e-03
2012 09 06  0110   56176   4200     3.46e-08    8.79e-07    3.39e-02
2012 09 06  0115   56176   4500     2.15e-08    9.37e-07    2.14e-02
2012 09 06  0120   56176   4800     1.00e-09    5.90e-07    1.71e-03
2012 09 06  0125   56176   5100     1.00e-09    5.42e-07    1.85e-03
2012 09 06  0130   56176   5400     1.00e-09    5.15e-07    1.94e-03
2012 09 06  0135   56176   5700     1.00e-09    4.90e-07    2.04e-03
2012 09 06  0140   56176   6000     1.00e-09    4.89e-07    2.05e-03
2012 09 06  0145   56176   6300     1.00e-09    5.67e-07    1.77e-03
2012 09 06  0150   56176   6600     1.24e-08    7.60e-07    1.39e-02
2012 09 06  0155   56176   6900     8.71e-08    1.39e-06    6.18e-02
2012 09 06  0200   56176   7200     1.17e-07    1.70e-06    6.85e-02
2012 09 06  0205   56176   7500     1.22e-07    1.80e-06    6.79e-02
2012 09 06  0210   56176   7800     5.70e-08    1.49e-06    3.76e-02
2012 09 06  0215   56176   8100     1.73e-08    1.12e-06    1.49e-02
2012 09 06  0220   56176   8400     5.00e-09    8.75e-07    5.63e-03
2012 09 06  0225   56176   8700     1.00e-09    7.31e-07    1.37e-03
2012 09 06  0230   56176   9000     9.26e-09    8.18e-07    1.04e-02
2012 09 06  0235   56176   9300     1.16e-07    1.78e-06    6.33e-02
2012 09 06  0240   56176   9600     1.20e-07    1.92e-06    5.99e-02
2012 09 06  0245   56176   9900     2.26e-08    1.12e-06    2.01e-02
2012 09 06  0250   56176  10200     1.31e-09    8.02e-07    1.59e-03
2012 09 06  0255   56176  10500     1.00e-09    5.65e-07    1.78e-03
2012 09 06  0300   56176  10800     1.00e-09    4.92e-07    2.04e-03
2012 09 06  0305   56176  11100     1.00e-09    4.56e-07    2.20e-03
2012 09 06  0310   56176  11400     1.73e-08    6.24e-07    1.65e-02
2012 09 06  0315   56176  11700     1.04e-07    1.50e-06    6.73e-02
2012 09 06  0320   56176  12000     6.88e-09    7.05e-07    7.68e-03
2012 09 06  0325   56176  12300     1.00e-09    4.39e-07    2.28e-03
2012 09 06  0330   56176  12600     1.00e-09    4.17e-07    2.40e-03
2012 09 06  0335   56176  12900     1.00e-09    4.01e-07    2.50e-03
2012 09 06  0340   56176  13200     1.00e-09    4.10e-07    2.44e-03
2012 09 06  0345   56176  13500     1.00e-09    4.11e-07    2.43e-03
2012 09 06  0350   56176  13800     1.05e-09    4.50e-07    2.33e-03
2012 09 06  0355   56176  14100     1.00e-09    4.90e-07    2.05e-03
2012 09 06  0400   56176  14400     1.00e-09    4.50e-07    2.22e-03
2012 09 06  0405   56176  14700     3.28e-09    4.72e-07    5.82e-03
2012 09 06  0410   56176  15000     2.56e-06    1.10e-05    2.29e-01
2012 09 06  0415   56176  15300     1.57e-06    1.04e-05    1.47e-01
2012 09 06  0420   56176  15600     5.56e-07    5.85e-06    9.37e-02
2012 09 06  0425   56176  15900     2.66e-07    4.10e-06    6.43e-02
2012 09 06  0430   56176  16200     1.44e-07    3.15e-06    4.53e-02
2012 09 06  0435   56176  16500     7.25e-08    2.42e-06    2.96e-02
2012 09 06  0440   56176  16800     3.74e-08    1.90e-06    1.95e-02
2012 09 06  0445   56176  17100     1.73e-08    1.53e-06    1.11e-02
2012 09 06  0450   56176  17400     5.15e-09    1.27e-06    3.94e-03
2012 09 06  0455   56176  17700     1.23e-09    1.08e-06    1.13e-03
2012 09 06  0500   56176  18000     1.00e-09    9.54e-07    1.05e-03
2012 09 06  0505   56176  18300     1.26e-09    8.80e-07    1.43e-03
2012 09 06  0510   56176  18600     1.13e-09    8.53e-07    1.32e-03
2012 09 06  0515   56176  18900     1.00e-09    7.59e-07    1.32e-03
2012 09 06  0520   56176  19200     1.00e-09    6.69e-07    1.50e-03
2012 09 06  0525   56176  19500     1.00e-09    6.22e-07    1.61e-03
2012 09 06  0530   56176  19800     1.00e-09    5.81e-07    1.72e-03
2012 09 06  0535   56176  20100     1.00e-09    5.63e-07    1.78e-03
2012 09 06  0540   56176  20400     1.00e-09    5.39e-07    1.86e-03
2012 09 06  0545   56176  20700     1.00e-09    5.28e-07    1.89e-03
2012 09 06  0550   56176  21000     1.00e-09    5.14e-07    1.95e-03
2012 09 06  0555   56176  21300     1.00e-09    5.36e-07    1.87e-03
2012 09 06  0600   56176  21600     1.00e-09    5.26e-07    1.90e-03
2012 09 06  0605   56176  21900     1.00e-09    5.63e-07    1.78e-03
2012 09 06  0610   56176  22200     1.00e-09    5.64e-07    1.78e-03
2012 09 06  0615   56176  22500     1.00e-09    5.04e-07    1.99e-03
2012 09 06  0620   56176  22800     1.00e-09    4.56e-07    2.19e-03
2012 09 06  0625   56176  23100     1.00e-09    4.47e-07    2.23e-03
2012 09 06  0630   56176  23400     1.00e-09    4.63e-07    2.16e-03
2012 09 06  0635   56176  23700     1.00e-09    3.38e-07    3.37e-03
2012 09 06  0640   56176  24000    -1.00e+05   -1.00e+05   -1.00e+05
2012 09 06  0645   56176  24300    -1.00e+05   -1.00e+05   -1.00e+05
2012 09 06  0650   56176  24600    -1.00e+05   -1.00e+05   -1.00e+05
2012 09 06  0655   56176  24900    -1.00e+05   -1.00e+05   -1.00e+05
2012 09 06  0700   56176  25200    -1.00e+05   -1.00e+05   -1.00e+05
2012 09 06  0705   56176  25500    -1.00e+05   -1.00e+05   -1.00e+05
2012 09 06  0710   56176  25800    -1.00e+05   -1.00e+05   -1.00e+05
2012 09 06  0715   56176  26100    -1.00e+05   -1.00e+05   -1.00e+05
2012 09 06  0720   56176  26400    -1.00e+05   -1.00e+05   -1.00e+05
2012 09 06  0725   56176  26700     1.00e-09    6.45e-07    1.55e-03
2012 09 06  0730   56176  27000     1.00e-09    6.79e-07    1.47e-03
2012 09 06  0735   56176  27300     1.00e-09    7.19e-07    1.39e-03
2012 09 06  0740   56176  27600     2.26e-08    1.01e-06    1.94e-02
2012 09 06  0745   56176  27900     5.26e-08    1.37e-06    3.64e-02
2012 09 06  0750   56176  28200     2.15e-07    2.76e-06    7.76e-02
2012 09 06  0755   56176  28500     8.53e-08    2.14e-06    3.92e-02
2012 09 06  0800   56176  28800     5.51e-08    1.70e-06    3.24e-02
2012 09 06  0805   56176  29100     9.48e-08    1.89e-06    5.02e-02
2012 09 06  0810   56176  29400     8.29e-08    1.92e-06    4.31e-02
2012 09 06  0815   56176  29700     5.32e-08    1.80e-06    2.94e-02
2012 09 06  0820   56176  30000     3.94e-08    1.70e-06    2.32e-02
2012 09 06  0825   56176  30300     3.87e-08    1.67e-06    2.32e-02
2012 09 06  0830   56176  30600     3.47e-08    1.63e-06    2.12e-02
2012 09 06  0835   56176  30900     2.14e-08    1.49e-06    1.43e-02
2012 09 06  0840   56176  31200     1.64e-08    1.38e-06    1.19e-02
2012 09 06  0845   56176  31500     1.35e-08    1.29e-06    1.04e-02
2012 09 06  0850   56176  31800     6.23e-09    1.15e-06    5.44e-03
2012 09 06  0855   56176  32100     2.36e-09    1.03e-06    2.28e-03
2012 09 06  0900   56176  32400     1.64e-09    9.67e-07    1.70e-03
2012 09 06  0905   56176  32700     1.00e-09    8.58e-07    1.17e-03
2012 09 06  0910   56176  33000     1.00e-09    7.94e-07    1.26e-03
2012 09 06  0915   56176  33300     1.00e-09    7.50e-07    1.33e-03
2012 09 06  0920   56176  33600     1.00e-09    7.45e-07    1.34e-03
2012 09 06  0925   56176  33900     1.00e-09    6.80e-07    1.47e-03
2012 09 06  0930   56176  34200     1.00e-09    6.26e-07    1.60e-03
2012 09 06  0935   56176  34500     1.00e-09    5.83e-07    1.71e-03
2012 09 06  0940   56176  34800     1.00e-09    5.61e-07    1.78e-03
2012 09 06  0945   56176  35100     1.02e-09    5.90e-07    1.72e-03
2012 09 06  0950   56176  35400     1.27e-08    7.01e-07    1.33e-02
2012 09 06  0955   56176  35700     5.24e-08    1.20e-06    4.24e-02
2012 09 06  1000   56176  36000     2.49e-08    9.94e-07    2.50e-02
2012 09 06  1005   56176  36300     1.75e-08    9.38e-07    1.84e-02
2012 09 06  1010   56176  36600     5.26e-09    8.35e-07    6.22e-03
2012 09 06  1015   56176  36900     1.25e-09    7.23e-07    1.72e-03
2012 09 06  1020   56176  37200     1.02e-09    6.43e-07    1.59e-03
2012 09 06  1025   56176  37500     1.00e-09    6.22e-07    1.61e-03
2012 09 06  1030   56176  37800     1.00e-09    5.80e-07    1.73e-03
2012 09 06  1035   56176  38100     1.00e-09    5.54e-07    1.80e-03
2012 09 06  1040   56176  38400     1.00e-09    5.29e-07    1.89e-03
2012 09 06  1045   56176  38700     1.00e-09    5.07e-07    1.97e-03
2012 09 06  1050   56176  39000     1.00e-09    4.66e-07    2.15e-03
2012 09 06  1055   56176  39300     1.00e-09    4.35e-07    2.30e-03
2012 09 06  1100   56176  39600     1.00e-09    4.17e-07    2.40e-03
2012 09 06  1105   56176  39900     1.00e-09    4.26e-07    2.35e-03
2012 09 06  1110   56176  40200     1.00e-09    4.14e-07    2.41e-03
2012 09 06  1115   56176  40500     1.00e-09    4.06e-07    2.46e-03
2012 09 06  1120   56176  40800     1.00e-09    4.08e-07    2.45e-03
2012 09 06  1125   56176  41100     1.00e-09    4.03e-07    2.48e-03
2012 09 06  1130   56176  41400     1.00e-09    4.12e-07    2.43e-03
2012 09 06  1135   56176  41700     1.00e-09    4.28e-07    2.34e-03
2012 09 06  1140   56176  42000     1.00e-09    4.23e-07    2.36e-03
2012 09 06  1145   56176  42300     1.00e-09    4.08e-07    2.45e-03
2012 09 06  1150   56176  42600     1.00e-09    3.94e-07    2.54e-03
2012 09 06  1155   56176  42900     1.75e-08    7.13e-07    2.00e-02
2012 09 06  1200   56176  43200     1.35e-09    5.58e-07    2.34e-03
2012 09 06  1205   56176  43500     1.00e-09    4.22e-07    2.37e-03
2012 09 06  1210   56176  43800     1.03e-09    4.66e-07    2.22e-03
2012 09 06  1215   56176  44100     1.08e-09    5.16e-07    2.08e-03
2012 09 06  1220   56176  44400     1.00e-09    4.62e-07    2.16e-03
2012 09 06  1225   56176  44700     1.00e-09    4.47e-07    2.24e-03
2012 09 06  1230   56176  45000     1.00e-09    4.43e-07    2.26e-03
2012 09 06  1235   56176  45300     1.00e-09    4.34e-07    2.30e-03
2012 09 06  1240   56176  45600     1.00e-09    4.62e-07    2.17e-03
2012 09 06  1245   56176  45900     1.00e-09    4.59e-07    2.18e-03
2012 09 06  1250   56176  46200     1.00e-09    4.46e-07    2.24e-03
2012 09 06  1255   56176  46500     1.00e-09    4.43e-07    2.26e-03
2012 09 06  1300   56176  46800     1.00e-09    4.57e-07    2.19e-03
2012 09 06  1305   56176  47100     1.00e-09    4.67e-07    2.14e-03
2012 09 06  1310   56176  47400     1.00e-09    4.72e-07    2.12e-03
2012 09 06  1315   56176  47700     1.00e-09    4.56e-07    2.19e-03
2012 09 06  1320   56176  48000     1.00e-09    4.47e-07    2.24e-03
2012 09 06  1325   56176  48300     1.00e-09    4.34e-07    2.30e-03
2012 09 06  1330   56176  48600     1.00e-09    4.28e-07    2.34e-03
2012 09 06  1335   56176  48900     1.00e-09    4.41e-07    2.27e-03
