:Data_list: 20130609_Gp_xr_5m.txt
:Created: 2013 Jun 09 1825 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2013 06 09  0000   56452      0     1.04e-09    2.58e-07    4.05e-03
2013 06 09  0005   56452    300     1.23e-09    2.95e-07    4.13e-03
2013 06 09  0010   56452    600     4.08e-09    3.36e-07    1.21e-02
2013 06 09  0015   56452    900     1.00e-09    3.03e-07    3.31e-03
2013 06 09  0020   56452   1200     1.00e-09    2.91e-07    3.44e-03
2013 06 09  0025   56452   1500     1.00e-09    2.93e-07    3.43e-03
2013 06 09  0030   56452   1800     1.00e-09    2.70e-07    3.70e-03
2013 06 09  0035   56452   2100     1.00e-09    2.58e-07    3.87e-03
2013 06 09  0040   56452   2400     1.00e-09    2.48e-07    4.04e-03
2013 06 09  0045   56452   2700     1.00e-09    2.46e-07    4.06e-03
2013 06 09  0050   56452   3000     1.00e-09    2.39e-07    4.19e-03
2013 06 09  0055   56452   3300     1.00e-09    2.31e-07    4.33e-03
2013 06 09  0100   56452   3600     1.00e-09    2.23e-07    4.48e-03
2013 06 09  0105   56452   3900     1.02e-09    2.22e-07    4.57e-03
2013 06 09  0110   56452   4200     1.00e-09    2.25e-07    4.45e-03
2013 06 09  0115   56452   4500     1.00e-09    2.33e-07    4.29e-03
2013 06 09  0120   56452   4800     1.00e-09    2.41e-07    4.14e-03
2013 06 09  0125   56452   5100     1.00e-09    2.50e-07    4.01e-03
2013 06 09  0130   56452   5400     1.09e-09    2.80e-07    3.89e-03
2013 06 09  0135   56452   5700     1.03e-09    2.86e-07    3.61e-03
2013 06 09  0140   56452   6000     1.07e-08    3.69e-07    2.57e-02
2013 06 09  0145   56452   6300     5.19e-08    6.89e-07    7.41e-02
